player_id,player_name,match_id,match_name,club,Minutes,total_distance,high_intensity_distance,sprint_distance,hi_runs,sprint_runs,position,division
2061,Tomas Galvez,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,64.46326207442597,8141.71,642.17,135.89,27.0,3.0,LB,KKD
2062,Nicolas Binder,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,72.85436210131333,9319.53,882.15,183.97,34.0,6.0,CF,KKD
2063,Oscar Sjöstrand,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,64.62693253689389,7357.13,535.06,206.32,18.0,7.0,LW,KKD
2066,Diyae-Eddine Jermoumi,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,17.890461297888976,2288.19,215.15,40.15,8.0,3.0,RB,KKD
2068,Kian Visser,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,30.46571616944124,3696.71,448.48,131.63,16.0,4.0,CF,KKD
2070,Yoram van der Veen,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,50.03817470279849,6776.67,896.9200000000001,382.96,17.0,12.0,LW,KKD
264,Nicky Souren,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,95.0902348578492,12308.48,1181.31,297.62,35.0,13.0,DM,KKD
394,Thijs Jansen,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,95.08896935212724,7353.23,143.1,14.84,6.0,0.0,GK,KKD
1080,Jurre van Aken,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,95.0919993809966,12289.69,1346.33,409.15,36.0,13.0,RB,KKD
158,Nick Venema,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,77.00089343729695,9480.35,921.7099999999999,363.03,24.0,11.0,RW,KKD
1727,Celton Anssumane Biai,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,95.08982035928143,5399.2,93.36,24.8,3.0,0.0,GK,KKD
1799,Sem Valk,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,95.09459339093259,10676.27,588.22,105.14,20.0,5.0,CB,KKD
183,Joep van der Sluijs,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,85.64518784613081,11443.91,1194.3,269.43,33.0,14.0,AM,KKD
1953,Augustin Drakpe,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,95.09199828840394,11111.5,789.96,177.02,31.0,11.0,CB,KKD
1966,Marouane Afaker,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,76.97235023041475,9520.71,751.12,185.0,23.0,7.0,LW,KKD
2005,Sem Verdonk,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,18.091836115326252,2980.63,633.5899999999999,309.75,9.0,10.0,RW,KKD
2049,Deveron Fonville,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,95.09542176756666,11341.08,1237.1599999999999,391.02,37.0,13.0,LB,KKD
2050,Martin Vetkal,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,95.09464203938329,12459.3,1216.1,276.56,35.0,12.0,DM,KKD
2051,Robin van Asten,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,64.4331347728965,8653.37,853.87,152.61,25.0,6.0,CM,KKD
2052,Yannick Eduardo,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,95.0936844558378,12241.41,1362.98,400.58,35.0,18.0,CF,KKD
2053,Seung-Gyun Bae,20250808,FC Dordrecht vs SC Cambuur,FC Dordrecht,30.657401468177607,4301.54,623.3199999999999,260.09,14.0,9.0,CM,KKD
